bedrooms,square_footage,bathrooms,location,age_of_house,garage_size,lot_size,distance_to_school,house_price
3,1561.2,2.5,Downtown,31.5,2,5694.5,9.8,443820.92
5,2678.5,4.0,Rural,46.5,3,11911.0,1.08,396736.42
4,2700.8,3.5,Suburban,44.7,2,2569.3,1.9,513879.99
3,1614.5,2.0,Downtown,35.6,1,7632.9,3.97,410088.9
2,1787.7,1.5,Suburban,10.0,0,8682.8,4.83,337364.58
2,1505.5,1.0,Suburban,46.9,2,11851.7,9.53,253251.05
2,1590.9,1.0,Downtown,11.4,2,6183.4,2.8,431129.18
4,2620.8,2.5,Suburban,18.6,0,12969.5,7.35,530488.88
3,2437.5,2.0,Downtown,41.3,1,10767.4,6.74,602926.28
4,3145.0,3.5,Suburban,10.4,3,11795.1,5.42,665236.87
1,672.2,1.0,Suburban,31.9,3,14567.1,3.03,165786.01
5,3454.2,3.0,Suburban,22.9,1,12826.6,1.99,682206.42
4,2580.5,3.0,Suburban,31.2,1,5855.0,2.18,490597.39
2,1605.0,1.5,Suburban,47.9,2,10041.4,3.79,272401.54
2,1331.9,1.5,Downtown,40.4,1,13160.6,1.8,353657.0
2,1637.2,1.5,Suburban,14.8,2,8351.7,9.99,311525.19
3,2314.6,2.5,Downtown,2.9,1,10559.2,4.74,661509.61
3,1990.8,2.5,Suburban,48.4,2,3411.7,5.62,361289.72
3,1905.9,2.5,Suburban,29.3,1,12422.8,6.36,357280.39
3,2367.7,2.0,Suburban,8.7,2,11604.4,2.36,476698.43
3,2213.3,3.5,Suburban,31.4,1,13444.5,5.08,461979.85
2,1738.5,2.0,Suburban,2.1,2,10942.1,1.1,384220.28
3,1869.9,2.5,Downtown,9.4,2,13276.6,9.71,549966.1
3,2390.3,2.0,Suburban,31.6,2,3271.0,4.99,430542.55
3,1820.6,2.5,Rural,20.1,1,12391.1,0.78,310217.63
4,2912.4,3.0,Downtown,16.3,2,14341.5,6.19,819164.79
2,1309.7,1.5,Downtown,32.8,0,12417.1,1.45,379492.66
3,2006.3,1.5,Suburban,43.3,2,9613.2,8.0,351489.35
3,2508.5,2.0,Suburban,33.9,0,13971.0,9.56,446755.73
1,679.7,1.0,Suburban,23.2,2,2322.8,9.21,105834.79
3,2109.4,2.5,Urban,32.9,2,1236.1,4.56,473569.1
2,1755.1,2.0,Suburban,34.8,1,14514.5,7.27,337745.81
2,1601.2,2.0,Downtown,38.8,1,10562.1,1.98,444180.41
5,3982.7,3.5,Rural,15.4,3,2598.3,1.22,562147.68
5,3278.0,3.5,Downtown,5.7,1,5760.2,8.3,896507.01
4,2909.1,3.0,Downtown,34.1,2,11483.2,7.1,767928.38
3,1657.6,2.5,Downtown,6.1,1,11505.4,9.12,524462.42
2,2068.0,1.5,Downtown,23.1,3,3379.9,9.19,505516.66
3,2705.8,2.5,Urban,11.5,2,7582.1,3.8,651601.15
3,2069.4,2.0,Suburban,16.6,3,12302.4,3.53,442437.2
2,1229.3,1.0,Urban,23.5,2,14535.2,4.7,326277.41
3,2055.5,2.0,Urban,44.8,2,9715.9,6.82,488651.05
1,681.9,1.0,Downtown,34.0,1,9933.9,0.55,211710.52
5,3724.4,3.5,Suburban,8.6,1,7570.9,5.58,719237.74
3,2457.4,3.0,Suburban,44.0,1,8546.8,0.69,442315.86
3,1645.5,2.5,Rural,25.0,1,2385.1,4.78,223878.44
3,2473.8,1.5,Downtown,10.2,2,5894.2,1.28,676149.3
3,2277.0,3.0,Suburban,26.4,2,8102.1,5.84,444112.33
3,2288.2,1.0,Rural,9.5,0,4849.7,3.49,302818.1
2,1544.5,2.5,Downtown,18.4,1,6037.6,5.05,414805.45
5,2763.4,3.5,Downtown,40.3,2,14596.8,9.6,786413.94
4,3158.9,3.0,Suburban,32.9,2,1072.8,3.74,568618.68
5,3116.9,3.5,Suburban,23.9,1,5237.0,7.33,600749.36
4,2221.3,3.0,Suburban,11.3,1,9175.4,6.99,480510.21
3,2451.6,2.0,Urban,14.1,1,4905.5,8.75,538096.95
5,4411.5,3.5,Suburban,48.9,1,10470.5,3.68,773188.48
2,1701.2,2.0,Suburban,17.1,2,5189.9,1.03,318610.65
2,1620.3,1.5,Suburban,30.8,2,9934.9,9.72,311570.15
1,1028.7,1.0,Urban,25.0,2,12898.1,3.94,267245.28
3,1755.0,2.5,Urban,1.2,3,10221.0,2.34,526275.63
3,2095.1,2.5,Downtown,47.2,3,1698.4,9.18,508427.34
3,2495.6,2.0,Suburban,4.4,2,12133.0,2.31,490381.8
4,2205.3,3.5,Urban,32.9,1,3979.2,5.52,491500.48
3,2424.9,2.0,Suburban,40.6,1,9887.1,7.68,418295.65
3,1986.9,2.0,Suburban,37.4,2,10054.3,7.44,402767.03
3,1812.0,2.0,Suburban,40.5,3,12252.3,0.78,398901.66
2,1518.1,1.0,Downtown,37.0,2,8081.5,2.42,382825.47
4,2519.9,3.0,Suburban,22.3,3,6263.5,8.94,495641.24
2,1238.4,2.0,Urban,44.8,1,8252.4,5.76,251724.82
6,4420.5,4.5,Suburban,45.6,0,8640.6,7.03,779461.5
4,3356.3,2.5,Suburban,21.8,2,12501.5,4.32,662994.24
2,1484.1,2.0,Downtown,24.2,2,3871.0,7.58,402582.09
1,898.5,1.0,Downtown,24.3,1,12855.6,3.25,266669.8
4,2719.3,2.5,Downtown,13.9,0,6119.9,2.7,749308.4
4,2709.7,4.0,Downtown,5.7,0,11414.1,9.97,781876.88
4,2847.9,2.5,Suburban,13.1,0,5700.0,2.0,539687.04
4,2607.6,3.5,Suburban,42.2,1,10924.4,9.82,496930.82
2,1466.5,1.0,Suburban,27.2,1,12188.5,9.3,256292.3
3,2304.3,2.5,Rural,42.5,2,8812.9,7.29,332306.57
2,1317.5,1.0,Suburban,37.3,2,9673.6,6.03,259402.52
4,2456.6,2.5,Urban,17.4,2,10908.6,0.54,621764.82
3,2142.5,2.5,Downtown,9.3,2,10638.0,6.54,610686.0
3,2120.2,2.5,Downtown,28.4,2,11183.8,7.84,605377.7
2,1790.4,2.0,Suburban,46.8,1,12895.5,7.46,297284.4
3,2335.6,2.0,Downtown,42.0,1,4087.2,2.13,554931.63
3,2017.7,3.0,Downtown,38.2,1,4006.2,5.67,524960.81
4,2954.0,3.0,Downtown,38.2,0,14589.6,5.73,775171.24
3,2001.0,2.5,Downtown,26.4,1,12918.5,6.7,551335.03
